index,GLD_Close,GLD_dailyReturns,GC=F_Close,GC=F_dailyReturns,spread,abs_sprd,GLD_rolling avg,GC=F_rolling avg,isSprdPos,signal,axe,leverage,ratio,GLD_Size,GC=F_Size,GLD_Cashflow,GC=F_Cashflow,GLD_MTM,GC=F_MTM,Live Trades,GLD_PnL,GC=F_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL
2012-01-13,159.25999450683594,-0.006983478874407978,1630.4000244140625,-0.010259226560507262,0.003275747686099284,0.003275747686099284,0.0092544170906903,0.00882008090698957,1,0,0.0,10,15.039391807205252,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0092544170906903,0.0,0.0,0.0,0,0.0
2012-01-14,159.25999450683594,0.0,1630.4000244140625,0.0,0.0,0.0,0.009209333999134124,0.00871999746038138,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.009209333999134124,0.0,0.0,0.0,0,0.0
2012-01-15,159.25999450683594,0.0,1630.4000244140625,0.0,0.0,0.0,0.008596503525941582,0.00841442556660171,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008596503525941582,0.0,0.0,0.0,0,0.0
2012-01-16,159.25999450683594,0.0,1630.4000244140625,0.0,0.0,0.0,0.008596503525941582,0.00841442556660171,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008596503525941582,0.0,0.0,0.0,0,0.0
2012-01-17,160.5,0.007786045057981195,1655.199951171875,0.015210946017205185,-0.00742490095922399,0.00742490095922399,0.00868576508256998,0.0088161465545253,0,0,0.0,10,20.147201986711675,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0088161465545253,0.0,0.0,0.0,0,0.0
2012-01-18,161.60000610351562,0.006853620582651931,1659.5,0.0025979029452487534,0.004255717637403178,0.004255717637403178,0.00872081561307145,0.008810988764671011,1,0,0.0,10,3.892590765554845,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008810988764671011,0.0,0.0,0.0,0,0.0
2012-01-19,161.22000122070312,-0.0023515152751236723,1654.0999755859375,-0.003254006878012916,0.0009024916028892438,0.0009024916028892438,0.008435223782648615,0.008552993641350998,1,0,0.0,10,14.19755296399325,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008552993641350998,0.0,0.0,0.0,0,0.0
2012-01-20,162.07000732421875,0.005272336540625755,1663.699951171875,0.005803745678997885,-0.0005314091383721298,0.0005314091383721298,0.00847254207933879,0.008579101475239232,0,0,0.0,10,11.299978088543549,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008579101475239232,0.0,0.0,0.0,0,0.0
2012-01-21,162.07000732421875,0.0,1663.699951171875,0.0,0.0,0.0,0.008333845515304913,0.00856373725094612,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.00856373725094612,0.0,0.0,0.0,0,0.0
2012-01-22,162.07000732421875,0.0,1663.699951171875,0.0,0.0,0.0,0.008336738983284134,0.00853740513095229,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.00853740513095229,0.0,0.0,0.0,0,0.0
