Date,BTC-USD_Close,BTC-USD_dailyReturns,ETH-USD_Close,ETH-USD_dailyReturns,spread,abs_sprd,BTC-USD_rolling avg,ETH-USD_rolling avg,isSprdPos,signal,axe,leverage,ratio,BTC-USD_Size,ETH-USD_Size,BTC-USD_Cashflow,ETH-USD_Cashflow,BTC-USD_MTM,ETH-USD_MTM,Live Trades,BTC-USD_PnL,ETH-USD_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2024-07-23,65927.671875,-0.02452573786440093,3481.995849609375,0.012084550339342526,-0.03661028820374346,0.03661028820374346,0.025330805641573535,0.01874846239808329,0,1,1.0,5,0.026023692732769683,1.0,-5.0,-65927.671875,17409.979248046875,0.0,0.0,Opened,-65927.671875,17409.979248046875,0.0,0.025330805641573535,83337.65112304688,0.0,0.0,0,0.0,83337.65112304688
2024-07-24,65372.1328125,-0.008426492953570563,3336.33935546875,-0.04183132330756956,0.03340483035399899,0.03340483035399899,0.015232445892181916,0.023510169336865696,1,0,-1.0,5,0.2533566485958435,-1.0,5.0,65372.1328125,-16681.69677734375,-555.5390625,728.282470703125,Closed,65372.1328125,-16681.69677734375,172.743408203125,0.023510169336865696,82053.82958984375,172.743408203125,0.0021052449235654737,0,172.743408203125,0.0
2024-07-25,65777.2265625,0.00619673448871394,3174.42724609375,-0.04852986825503891,0.05472660274375285,0.05472660274375285,0.015128402508063885,0.02735257277184643,1,1,1.0,5,0.3779514746147868,-2.0,5.0,131554.453125,-15872.13623046875,0.0,0.0,Opened,131554.453125,-15872.13623046875,0.0,0.02735257277184643,147426.58935546875,0.0,0.0,0,0.0,147426.58935546875
2024-07-26,67912.0625,0.032455548053117234,3275.951416015625,0.031981885880926875,0.0004736621721903589,0.0004736621721903589,0.02140467129244207,0.03511893271841678,1,1,0.0,5,0.04753414145138957,2.0,-5.0,-135824.125,16379.757080078125,-4269.671875,507.620849609375,Live,0.0,0.0,0.0,0.03511893271841678,152203.88208007812,-3762.051025390625,-0.02471718180888001,0,0.0,0.0
2024-07-27,67813.3359375,-0.0014537411892032726,3247.60791015625,-0.008651992126869734,0.007198250937666462,0.007198250937666462,0.02099277763812796,0.03444166466720581,1,1,0.0,5,0.28502142128501345,2.0,-5.0,-135626.671875,16238.03955078125,-4072.21875,365.9033203125,Live,0.0,0.0,0.0,0.03444166466720581,151864.71142578125,-3706.3154296875,-0.024405376304282755,0,0.0,0.0
2024-07-28,68255.8671875,0.006525726007755361,3271.464599609375,0.007345926636807887,-0.0008202006290525254,0.0008202006290525254,0.015478047268688523,0.033705339512269845,0,0,-1.0,5,0.053953545341802564,2.0,-5.0,-136511.734375,16357.322998046875,-4957.28125,485.186767578125,Closed,-136511.734375,16357.322998046875,-4472.094482421875,0.033705339512269845,152869.05737304688,-4472.094482421875,-0.02925441262785187,0,-4472.094482421875,0.0
2024-07-29,66819.9140625,-0.021037797689324123,3320.539306640625,0.015000836945357587,-0.03603863463468171,0.03603863463468171,0.019210116680508822,0.030537704931038186,0,1,1.0,5,0.035433816259186714,1.0,-5.0,-66819.9140625,16602.696533203125,0.0,0.0,Opened,-66819.9140625,16602.696533203125,0.0,0.030537704931038186,83422.61059570312,0.0,0.0,0,0.0,83422.61059570312
2024-07-30,66201.015625,-0.009262185475442442,3278.667724609375,-0.012609873928464688,0.003347688453022246,0.003347688453022246,0.02009969265465868,0.01814533154135859,1,0,-1.0,5,0.06742640802602948,-1.0,5.0,66201.015625,-16393.338623046875,-618.8984375,209.35791015625,Closed,66201.015625,-16393.338623046875,-409.54052734375,0.02009969265465868,82594.35424804688,-409.54052734375,-0.004958456677484521,0,-409.54052734375,0.0
2024-07-31,64619.25,-0.023893373992326827,3231.295654296875,-0.01444857310697567,-0.009444800885351157,0.009444800885351157,0.0128587222481939,0.013094820877880744,0,0,0.0,5,0.03023864052771708,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.013094820877880744,0.0,0.0,0.0,0,0.0,0.0
2024-08-01,65357.5,0.011424614182306447,3201.564453125,-0.009201015429318393,0.02062562961162484,0.02062562961162484,0.01588762085323014,0.013159635057867233,1,1,1.0,5,0.0394512741612993,-1.0,5.0,65357.5,-16007.822265625,0.0,0.0,Opened,65357.5,-16007.822265625,0.0,0.01588762085323014,81365.322265625,0.0,0.0,0,0.0,81365.322265625
