index,AMD_Close,AMD_dailyReturns,NVDA_Close,NVDA_dailyReturns,spread,abs_sprd,AMD_rolling avg,NVDA_rolling avg,isSprdPos,signal,axe,leverage,ratio,AMD_Size,NVDA_Size,AMD_Cashflow,NVDA_Cashflow,AMD_MTM,NVDA_MTM,Live Trades,AMD_PnL,NVDA_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2015-12-01,2.3399999141693115,-0.008474568565903118,0.7990020513534546,0.03247152256590291,-0.04094609113180603,0.04094609113180603,0.03153549857751764,0.02047208287084861,0,1,1.0,10,1.3083294215724979,14.0,-10.0,-32.75999879837036,7.990020513534546,0.0,0.0,Opened,-32.75999879837036,7.990020513534546,0.0,0.03153549857751764,40.75001931190491,0.0,0.0,0,0.0,40.75001931190491
2015-12-02,2.2699999809265137,-0.029914502483068484,0.7929027676582336,-0.007633627078790561,-0.022280875404277922,0.022280875404277922,0.03161697135132477,0.02048195742474233,0,1,0.0,10,0.08913396699671809,-14.0,10.0,31.77999973297119,-7.929027676582336,-0.9799990653991699,0.06099283695220947,Live,0.0,0.0,0.0,0.03161697135132477,39.70902740955353,-0.9190062284469604,-0.02314350887944081,0,0.0,0.0
2015-12-03,2.2300000190734863,-0.017621128717675627,0.7911947965621948,-0.002154073823052882,-0.015467054894622745,0.015467054894622745,0.031645338957294745,0.02048396711130755,0,1,0.0,10,0.043371597134583,-14.0,10.0,31.22000026702881,-7.911947965621948,-1.5399985313415527,0.07807254791259766,Live,0.0,0.0,0.0,0.031645338957294745,39.13194823265076,-1.461925983428955,-0.03735888575588882,1,-1.461925983428955,0.0
2015-12-04,2.2799999713897705,0.02242150308907087,0.8233990669250488,0.040703339433959984,-0.018281836344889113,0.018281836344889113,0.031688426609773404,0.020681731129459667,0,1,0.0,10,0.6556028716514394,-14.0,10.0,31.919999599456787,-8.233990669250488,-0.8399991989135742,-0.24397015571594238,Live,0.0,0.0,0.0,0.031688426609773404,40.153990268707275,-1.0839693546295166,-0.026995308495511426,0,0.0,0.0
2015-12-05,2.2799999713897705,0.0,0.8233990669250488,0.0,0.0,0.0,0.03168131982496987,0.020594391914859338,1,0,-1.0,10,,-14.0,10.0,31.919999599456787,-8.233990669250488,-0.8399991989135742,-0.24397015571594238,Closed,31.919999599456787,-8.233990669250488,-1.0839693546295166,0.03168131982496987,40.153990268707275,-1.0839693546295166,-0.026995308495511426,0,0.0,0.0
2015-12-06,2.2799999713897705,0.0,0.8233990669250488,0.0,0.0,0.0,0.03167402001295738,0.02059459560666046,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03167402001295738,0.0,0.0,0.0,0,0.0,0.0
2015-12-07,2.359999895095825,0.03508768627628123,0.8077850937843323,-0.018962825885905255,0.05405051216218648,0.05405051216218648,0.03176524470399044,0.020601004553428746,1,1,1.0,10,0.18498315285319433,-2.0,10.0,4.71999979019165,-8.077850937843323,0.0,0.0,Opened,4.71999979019165,-8.077850937843323,0.0,0.03176524470399044,12.797850728034973,0.0,0.0,0,0.0,12.797850728034973
2015-12-08,2.390000104904175,0.012711953873680848,0.8187635540962219,0.013590818147506845,-0.0008788642738259966,0.0008788642738259966,0.031778036106285094,0.02060840793078513,0,0,-1.0,10,0.3662636976858712,2.0,-10.0,-4.78000020980835,8.18763554096222,-0.06000041961669922,0.10978460311889648,Closed,-4.78000020980835,8.18763554096222,0.049784183502197266,0.031778036106285094,12.967635750770569,0.049784183502197266,0.003839110263352282,0,0.049784183502197266,0.0
2015-12-09,2.3499999046325684,-0.016736484734677592,0.7980262041091919,-0.025327641763342235,0.008591157028664642,0.008591157028664642,0.03180240059809051,0.02059380672345532,1,0,0.0,10,0.5139014187015123,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03180240059809051,0.0,0.0,0.0,0,0.0,0.0
2015-12-10,2.450000047683716,0.042553254089081616,0.8046132326126099,0.008254150640041757,0.03429910344903986,0.03429910344903986,0.03195571143114655,0.02059698845693894,1,1,1.0,10,0.06370311830425053,-1.0,10.0,2.450000047683716,-8.046132326126099,0.0,0.0,Opened,2.450000047683716,-8.046132326126099,0.0,0.03195571143114655,10.496132373809814,0.0,0.0,0,0.0,10.496132373809814
2015-12-11,2.359999895095825,-0.03673475544336369,0.7926587462425232,-0.014857431975447422,-0.021877323467916265,0.021877323467916265,0.03207814712615791,0.020637715514948488,0,0,-1.0,10,0.13584412787498243,1.0,-10.0,-2.359999895095825,7.926587462425232,0.09000015258789062,-0.1195448637008667,Closed,-2.359999895095825,7.926587462425232,-0.029544711112976074,0.03207814712615791,10.286587357521057,-0.029544711112976074,-0.0028721586747984407,0,-0.029544711112976074,0.0
2015-12-12,2.359999895095825,0.0,0.7926587462425232,0.0,0.0,0.0,0.03207698258954411,0.020635868828117482,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03207698258954411,0.0,0.0,0.0,0,0.0,0.0
2015-12-13,2.359999895095825,0.0,0.7926587462425232,0.0,0.0,0.0,0.03206370697535696,0.020624014836239875,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03206370697535696,0.0,0.0,0.0,0,0.0,0.0
2015-12-14,2.3399999141693115,-0.008474568565903118,0.7946104407310486,0.0024622127716082964,-0.010936781337511414,0.010936781337511414,0.03184590920061277,0.020612653040752625,0,0,0.0,10,0.09866120320570299,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03184590920061277,0.0,0.0,0.0,0,0.0,0.0
2015-12-15,2.359999895095825,0.008547000709448138,0.8043692708015442,0.01228127591869721,-0.0037342752092490716,0.0037342752092490716,0.0318167152976668,0.020598388451949654,0,0,0.0,10,0.489748636867657,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0318167152976668,0.0,0.0,0.0,0,0.0,0.0
2015-12-16,2.5399999618530273,0.0762712181179539,0.809248685836792,0.006066138044266145,0.07020508007368775,0.07020508007368775,0.03227177724854759,0.020595625514550003,1,1,1.0,10,0.025339608420291777,-1.0,10.0,2.5399999618530273,-8.09248685836792,0.0,0.0,Opened,2.5399999618530273,-8.09248685836792,0.0,0.03227177724854759,10.632486820220947,0.0,0.0,0,0.0,10.632486820220947
2015-12-17,2.559999942779541,0.007874008357040552,0.7970502376556396,-0.015073794242296157,0.02294780259933671,0.02294780259933671,0.03227652503991459,0.020636713387914094,1,1,0.0,10,0.596035945047276,1.0,-10.0,-2.559999942779541,7.9705023765563965,-0.019999980926513672,-0.12198448181152344,Live,0.0,0.0,0.0,0.03227652503991459,10.530502319335938,-0.1419844627380371,-0.013483161432605882,0,0.0,0.0
2015-12-18,2.450000047683716,-0.042968709982232234,0.7841197848320007,-0.01622288309162445,-0.026745826890607782,0.026745826890607782,0.03243855145604159,0.02068297898616145,0,0,-1.0,10,0.12083480411334308,1.0,-10.0,-2.450000047683716,7.841197848320007,0.08999991416931152,-0.2512890100479126,Closed,-2.450000047683716,7.841197848320007,-0.16128909587860107,0.03243855145604159,10.291197896003723,-0.16128909587860107,-0.015672528845376964,0,-0.16128909587860107,0.0
2015-12-19,2.450000047683716,0.0,0.7841197848320007,0.0,0.0,0.0,0.032418364022285165,0.02067802312777596,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.032418364022285165,0.0,0.0,0.0,0,0.0,0.0
2015-12-20,2.450000047683716,0.0,0.7841197848320007,0.0,0.0,0.0,0.03241700271937643,0.02057118368751407,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03241700271937643,0.0,0.0,0.0,0,0.0,0.0
2015-12-21,2.5299999713897705,0.0326530294485865,0.8026614785194397,0.023646506625784935,0.009006522822801566,0.009006522822801566,0.03250623751674312,0.0206096454121695,1,0,0.0,10,0.229749944193459,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03250623751674312,0.0,0.0,0.0,0,0.0,0.0
2015-12-22,2.7699999809265137,0.09486166492124792,0.8033934235572815,0.0009118975526170026,0.09394976736863092,0.09394976736863092,0.03323914408151372,0.020606846719508246,1,1,1.0,10,0.0027880709008405937,-1.0,10.0,2.7699999809265137,-8.033934235572815,0.0,0.0,Opened,2.7699999809265137,-8.033934235572815,0.0,0.03323914408151372,10.803934216499329,0.0,0.0,0,0.0,10.803934216499329
2015-12-23,2.8299999237060547,0.02166062931143853,0.80656498670578,0.003947708626310886,0.017712920685127642,0.017712920685127642,0.03311344496530912,0.02053467415128086,1,1,0.0,10,0.05194299197680242,1.0,-10.0,-2.8299999237060547,8.0656498670578,-0.059999942779541016,0.03171563148498535,Live,0.0,0.0,0.0,0.03311344496530912,10.895649790763855,-0.028284311294555664,-0.0025959269834950113,0,0.0,0.0
