index,2330.TW_Close,2330.TW_dailyReturns,NVDA_Close,NVDA_dailyReturns,spread,abs_sprd,2330.TW_rolling avg,NVDA_rolling avg,isSprdPos,signal,axe,leverage,ratio,2330.TW_Size,NVDA_Size,2330.TW_Cashflow,NVDA_Cashflow,2330.TW_MTM,NVDA_MTM,Live Trades,2330.TW_PnL,NVDA_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2017-07-03,172.3480682373047,0.002398033649680942,3.4398624897003174,-0.036178923866451385,0.038576957516132326,0.038576957516132326,0.008242845384799805,0.027306076146711027,1,1,0.0,10,0.3011168326746413,1.0,-10.0,-172.3480682373047,34.398624897003174,0.8246612548828125,-1.8146157264709473,Live,0.0,0.0,0.0,0.027306076146711027,206.74669313430786,-0.9899544715881348,-0.0047882481532366536,0,0.0,0.0
2017-07-04,170.69882202148438,-0.009569275900148111,3.4398624897003174,0.0,-0.009569275900148111,0.009569275900148111,0.008311990948609592,0.027306076146711027,0,0,-1.0,10,0.0,1.0,-10.0,-170.69882202148438,34.398624897003174,2.473907470703125,-1.8146157264709473,Closed,-170.69882202148438,34.398624897003174,0.6592917442321777,0.027306076146711027,205.09744691848755,0.6592917442321777,0.00321452925981181,0,0.6592917442321777,0.0
2017-07-05,171.93576049804688,0.007246321104704689,3.5317044258117676,0.0266993045176791,-0.01945298341297441,0.01945298341297441,0.00833348717371993,0.02740597951119015,0,0,0.0,10,0.07568337828291936,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02740597951119015,0.0,0.0,0.0,0,0.0,0.0
2017-07-06,171.11109924316406,-0.004796333540468933,3.542320489883423,0.0030059322048772152,-0.007802265745346149,0.007802265745346149,0.008327157004984851,0.027393063674260986,0,0,0.0,10,0.012974166729942397,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.027393063674260986,0.0,0.0,0.0,0,0.0,0.0
2017-07-07,169.87417602539062,-0.007228772553296903,3.623297929763794,0.022859998159860506,-0.03008877071315741,0.03008877071315741,0.00820319237276575,0.02745493585328747,0,1,1.0,10,0.06745098769165826,1.0,-10.0,-169.87417602539062,36.23297929763794,0.0,0.0,Opened,-169.87417602539062,36.23297929763794,0.0,0.02745493585328747,206.10715532302856,0.0,0.0,0,0.0,206.10715532302856
2017-07-08,169.87417602539062,0.0,3.623297929763794,0.0,0.0,0.0,0.00820319237276575,0.027411196574979972,1,0,-1.0,10,,-1.0,10.0,169.87417602539062,-36.23297929763794,0.0,0.0,Closed,169.87417602539062,-36.23297929763794,0.0,0.027411196574979972,206.10715532302856,0.0,0.0,0,0.0,0.0
2017-07-09,169.87417602539062,0.0,3.623297929763794,0.0,0.0,0.0,0.008078723914063283,0.0274025203852556,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0274025203852556,0.0,0.0,0.0,0,0.0,0.0
2017-07-10,169.87417602539062,0.0,3.794637680053711,0.047288341618953345,-0.047288341618953345,0.047288341618953345,0.008078723914063283,0.0277498987304139,0,0,0.0,10,inf,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0277498987304139,0.0,0.0,0.0,0,0.0,0.0
2017-07-11,174.82199096679688,0.02912635138060482,3.848459482192993,0.014183647208847683,0.014942704171757137,0.014942704171757137,0.00854576650684593,0.02776638970548933,1,0,0.0,10,0.010719948342163945,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.02776638970548933,0.0,0.0,0.0,0,0.0,0.0
2017-07-12,173.5850067138672,-0.0070756787866843585,4.012145042419434,0.04253274874890112,-0.049608427535585475,0.049608427535585475,0.008587613317182994,0.02801687736723234,0,1,1.0,10,0.13893758818415125,2.0,-10.0,-347.1700134277344,40.121450424194336,0.0,0.0,Opened,-347.1700134277344,40.121450424194336,0.0,0.02801687736723234,387.2914638519287,0.0,0.0,0,0.0,387.2914638519287
