index,GLD_Close,GLD_dailyReturns,COPX_Close,COPX_dailyReturns,spread,abs_sprd,GLD_rolling avg,COPX_rolling avg,isSprdPos,signal,axe,leverage,ratio,GLD_Size,COPX_Size,GLD_Cashflow,COPX_Cashflow,GLD_MTM,COPX_MTM,Live Trades,GLD_PnL,COPX_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2019-10-18,140.4600067138672,-0.0010667370445437419,15.471857070922852,0.0034985152959221555,-0.004565252340465897,0.004565252340465897,0.007182751742777811,0.012813895633782248,0,0,0.0,10,0.361256907486042,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012813895633782248,0.0,0.0,0.0,0,0.0,0.0
2019-10-19,140.4600067138672,0.0,15.471857070922852,0.0,0.0,0.0,0.007182751742777811,0.012799104829248646,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012799104829248646,0.0,0.0,0.0,0,0.0,0.0
2019-10-20,140.4600067138672,0.0,15.471857070922852,0.0,0.0,0.0,0.007179637045230457,0.01277454980620869,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01277454980620869,0.0,0.0,0.0,0,0.0,0.0
2019-10-21,139.7899932861328,-0.004770136663166058,15.669641494750977,0.012783496054900478,-0.017553632718066536,0.017553632718066536,0.007190402313274587,0.012766539826940742,0,1,1.0,10,0.3004012921763395,4.0,-10.0,-559.1599731445312,156.69641494750977,0.0,0.0,Opened,-559.1599731445312,156.69641494750977,0.0,0.012766539826940742,715.856388092041,0.0,0.0,0,0.0,715.856388092041
2019-10-22,140.1999969482422,0.002932997222985456,15.579740524291992,-0.005737270408458284,0.00867026763144374,0.00867026763144374,0.007192074151977028,0.012710236104901578,1,0,-1.0,10,0.2173731424997661,-4.0,10.0,560.7999877929688,-155.79740524291992,1.6400146484375,0.8990097045898438,Closed,560.7999877929688,-155.79740524291992,2.5390243530273438,0.012710236104901578,716.5973930358887,2.5390243530273438,0.003543167164299444,0,2.5390243530273438,0.0
2019-10-23,140.52999877929688,0.0023537934253772264,15.723575592041016,0.009232186346412874,-0.006878392921035648,0.006878392921035648,0.007179950719798861,0.012733367361984299,0,0,0.0,10,0.43885240918592144,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012733367361984299,0.0,0.0,0.0,0,0.0,0.0
2019-10-24,141.52999877929688,0.007115918371069618,15.606710433959961,-0.007432479806960046,0.014548398178029665,0.014548398178029665,0.007194873192479271,0.012741720007593212,1,1,1.0,10,0.11517697023506146,-2.0,10.0,283.05999755859375,-156.0671043395996,0.0,0.0,Opened,283.05999755859375,-156.0671043395996,0.0,0.012741720007593212,439.12710189819336,0.0,0.0,0,0.0,439.12710189819336
2019-10-25,141.86000061035156,0.0023316740895991117,15.858429908752441,0.01612892581416414,-0.01379725172456503,0.01379725172456503,0.007195379371451236,0.012806574025328638,0,0,-1.0,10,0.7732818687165076,2.0,-10.0,-283.7200012207031,158.5842990875244,-0.660003662109375,2.5171947479248047,Closed,-283.7200012207031,158.5842990875244,1.8571910858154297,0.012806574025328638,442.30430030822754,1.8571910858154297,0.0041988990035168395,0,1.8571910858154297,0.0
2019-10-26,141.86000061035156,0.0,15.858429908752441,0.0,0.0,0.0,0.007184559958705451,0.012803457133895265,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012803457133895265,0.0,0.0,0.0,0,0.0,0.0
2019-10-27,141.86000061035156,0.0,15.858429908752441,0.0,0.0,0.0,0.007183078498151553,0.012765938109001573,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012765938109001573,0.0,0.0,0.0,0,0.0,0.0
2019-10-28,140.63999938964844,-0.008600036764796815,16.092166900634766,0.01473897436424787,-0.023339011129044684,0.023339011129044684,0.007196276678173616,0.012727853491686493,0,1,1.0,10,0.19609775784099312,2.0,-10.0,-281.2799987792969,160.92166900634766,0.0,0.0,Opened,-281.2799987792969,160.92166900634766,0.0,0.012727853491686493,442.20166778564453,0.0,0.0,0,0.0,442.20166778564453
2019-10-29,140.25,-0.0027730332148816483,16.19106101989746,0.006145481828105703,-0.008918515042987352,0.008918515042987352,0.00719286919146878,0.012676080807124,0,1,0.0,10,0.2558428633131508,-2.0,10.0,280.5,-161.9106101989746,-0.779998779296875,-0.9889411926269531,Live,0.0,0.0,0.0,0.012676080807124,442.4106101989746,-1.7689399719238281,-0.003998412178967059,0,0.0,0.0
2019-10-30,141.02000427246094,0.005490226541611021,16.02025032043457,-0.010549691539855188,0.01603991808146621,0.01603991808146621,0.007191264540058931,0.012566079129826348,1,0,-1.0,10,0.21829212613479893,-2.0,10.0,282.0400085449219,-160.2025032043457,0.760009765625,0.7191658020019531,Closed,282.0400085449219,-160.2025032043457,1.4791755676269531,0.012566079129826348,442.2425117492676,1.4791755676269531,0.003344715915654852,0,1.4791755676269531,0.0
2019-10-31,142.42999267578125,0.009998499224238566,15.714587211608887,-0.019079796052612008,0.029078295276850574,0.029078295276850574,0.00722287619903932,0.012639242142773332,1,1,1.0,10,0.21054282043873607,-3.0,10.0,427.28997802734375,-157.14587211608887,0.0,0.0,Opened,427.28997802734375,-157.14587211608887,0.0,0.012639242142773332,584.4358501434326,0.0,0.0,0,0.0,584.4358501434326
2019-11-01,142.55999755859375,0.000912763389017579,16.110149383544922,0.025171655265867843,-0.024258891876850264,0.024258891876850264,0.007222527114231419,0.012788103930576248,0,0,-1.0,10,3.116416186314994,3.0,-10.0,-427.67999267578125,161.10149383544922,-0.3900146484375,3.9556217193603516,Closed,-427.67999267578125,161.10149383544922,3.5656070709228516,0.012788103930576248,588.7814865112305,3.5656070709228516,0.006055908945185288,0,3.5656070709228516,0.0
2019-11-02,142.55999755859375,0.0,16.110149383544922,0.0,0.0,0.0,0.0072228211160889925,0.012696613616846987,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012696613616846987,0.0,0.0,0.0,0,0.0,0.0
2019-11-03,142.55999755859375,0.0,16.110149383544922,0.0,0.0,0.0,0.0072209803557754144,0.012519823992556398,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.012519823992556398,0.0,0.0,0.0,0,0.0,0.0
2019-11-04,142.14999389648438,-0.002876007780098777,16.5506649017334,0.027343974764034495,-0.030219982544133273,0.030219982544133273,0.007222097753763733,0.012689480261417278,0,1,1.0,10,1.1069810548439427,12.0,-10.0,-1705.7999267578125,165.50664901733398,0.0,0.0,Opened,-1705.7999267578125,165.50664901733398,0.0,0.012689480261417278,1871.3065757751465,0.0,0.0,0,0.0,1871.3065757751465
2019-11-05,139.85000610351562,-0.016180006273117664,16.919248580932617,0.022270022466627015,-0.03845002873974468,0.03845002873974468,0.00733283480326001,0.012762879237094456,0,1,0.0,10,0.16651775652532946,-12.0,10.0,1678.2000732421875,-169.19248580932617,-27.599853515625,-3.6858367919921875,Live,0.0,0.0,0.0,0.012762879237094456,1847.3925590515137,-31.285690307617188,-0.016935052679696756,1,-31.285690307617188,0.0
