Date,2330.TW_Close,2330.TW_dailyReturns,2454.TW_Close,2454.TW_dailyReturns,spread,abs_sprd,2330.TW_rolling avg,2454.TW_rolling avg,isSprdPos,signal,axe,leverage,ratio,2330.TW_Size,2454.TW_Size,Gross size,,2330.TW_Cashflow,2454.TW_Cashflow,2330.TW_MTM,2454.TW_MTM,Live Trades,2330.TW_PnL,2454.TW_PnL,Total PnL,riskThreshold,grossCashflow,weighted,,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital,,,
19/2/2019,229,-0.004347826,250,-0.013806706,0.00945888,0.00945888,0.00844381,0.010715025,1,0,0,5,3.466749352,0,0,0,0,0,0,0,0,,0,0,0,0.010715025,0, -   , -   ,0,0,0,0,0,0, -   ,
20/2/2019,234.5,0.024017467,255.5,0.022,0.002017467,0.002017467,0.013509393,0.01617233,1,0,0,5,0.998029851,0,0,0,0,0,0,0,0,,0,0,0,0.01617233,0, -   , -   ,0,0,0,0,0,0, -   ,
21/2/2019,236.5,0.008528785,259,0.01369863,-0.005169845,0.005169845,0.011181601,0.016165866,0,0,0,5,1.75897072,0,0,0,0,0,0,0,0,,0,0,0,0.016165866,0, -   , -   ,0,0,0,0,0,0, -   ,
22/2/2019,236.5,0,264,0.019305019,-0.019305019,0.019305019,0.011181601,0.014368198,0,0,0,5,inf,0,0,0,0,0,0,0,0,,0,0,0,0.014368198,0, -   , -   ,0,0,0,0,0,0, -   ,
25/2/2019,238,0.006342495,282.5,0.070075758,-0.063733263,0.063733263,0.010840834,0.030287169,0,1,1,5,13.11442285,66,-5,71,0.012210294,-15708,1412.5,0,0,Opened,-15708,1412.5,0,0.030287169,17120.5, 0.00 , 0.00 ,0,0,0,0,17120.5,0, -   ,
26/2/2019,239.5,0.006302521,276.5,-0.021238938,0.027541459,0.027541459,0.008959322,0.032593987,1,0,-1,5,3.890524138,-66,5,71,0.010623735,15807,-1382.5,99,30,Closed,15807,-1382.5,129,0.032593987,17189.5, 0.00 , 0.00 ,129,0.007504581,0,129,0,0.007504581, 0.000028 ,
27/2/2019,239,-0.002087683,280,0.012658228,-0.014745911,0.014745911,0.0045878,0.032772971,0,0,0,5,7.103437318,0,0,0,0,0,0,0,0,,0,0,0,0.032772971,0, -   , -   ,0,0,0,0,0,0, -   ,
4/3/2019,235.5,-0.014644351,277,-0.010714286,-0.003930066,0.003930066,0.008593947,0.03545071,0,0,0,5,0.860561549,0,0,0,0,0,0,0,0,,0,0,0,0.03545071,0, -   , -   ,0,0,0,0,0,0, -   ,
5/3/2019,233,-0.010615711,273,-0.014440433,0.003824722,0.003824722,0.009594578,0.037353491,1,0,0,5,1.593814784,0,0,0,0,0,0,0,0,,0,0,0,0.037353491,0, -   , -   ,0,0,0,0,0,0, -   ,
6/3/2019,234,0.004291845,280,0.025641026,-0.02134918,0.02134918,0.009131201,0.019868339,0,1,1,5,7.14880561,36,-5,41,0.010440608,-8424,1400,0,0,Opened,-8424,1400,0,0.019868339,9824, 0.00 , 0.00 ,0,0,0,0,9824,0, -   ,
7/3/2019,234,0,274,-0.021428571,0.021428571,0.021428571,0.007804066,0.01991528,1,0,-1,5,inf,-36,5,41,0.009281044,8424,-1370,0,30,Closed,8424,-1370,30,0.01991528,9794, 0.00 , 0.00 ,30,0.0030631,0,30,0,0.0030631, 0.000007 ,
8/3/2019,230,-0.017094017,267.5,-0.023722628,0.006628611,0.006628611,0.009327767,0.020023364,1,0,0,5,1.614041177,0,0,0,0,0,0,0,0,,0,0,0,0.020023364,0, -   , -   ,0,0,0,0,0,0, -   ,
11/3/2019,230.5,0.002173913,270,0.009345794,-0.007171881,0.007171881,0.009189441,0.021530209,0,0,0,5,5.035781621,0,0,0,0,0,0,0,0,,0,0,0,0.021530209,0, -   , -   ,0,0,0,0,0,0, -   ,
12/3/2019,235.5,0.021691974,270.5,0.001851852,0.019840122,0.019840122,0.013796846,0.02095449,1,0,0,5,0.098058111,0,0,0,0,0,0,0,0,,0,0,0,0.02095449,0, -   , -   ,0,0,0,0,0,0, -   ,
13/3/2019,237,0.006369427,273,0.009242144,-0.002872717,0.002872717,0.013905969,0.016401269,0,0,0,5,1.671424226,0,0,0,0,0,0,0,0,,0,0,0,0.016401269,0, -   , -   ,0,0,0,0,0,0, -   ,
14/3/2019,234.5,-0.010548523,272.5,-0.001831502,-0.008717021,0.008717021,0.015149006,0.013574578,0,0,0,5,0.201761991,0,0,0,0,0,0,0,0,,0,0,0,0.015149006,0, -   , -   ,0,0,0,0,0,0, -   ,
15/3/2019,239,0.019189765,276,0.012844037,0.006345729,0.006345729,0.013163191,0.006055254,1,0,0,5,0.77293514,0,0,0,0,0,0,0,0,,0,0,0,0.013163191,0, -   , -   ,0,0,0,0,0,0, -   ,
18/3/2019,241,0.008368201,278,0.007246377,0.001121824,0.001121824,0.01279043,0.005860068,1,0,0,5,0.998887486,0,0,0,0,0,0,0,0,,0,0,0,0.01279043,0, -   , -   ,0,0,0,0,0,0, -   ,
19/3/2019,240.5,-0.002074689,275.5,-0.008992806,0.006918117,0.006918117,0.011221024,0.00892483,1,0,0,5,4.965337501,0,0,0,0,0,0,0,0,,0,0,0,0.011221024,0, -   , -   ,0,0,0,0,0,0, -   ,
20/3/2019,242,0.006237006,274.5,-0.003629764,0.00986677,0.00986677,0.011214958,0.00878245,1,0,0,5,0.660129592,0,0,0,0,0,0,0,0,,0,0,0,0.011214958,0, -   , -   ,0,0,0,0,0,0, -   ,
21/3/2019,245.5,0.01446281,277.5,0.010928962,0.003533848,0.003533848,0.008125203,0.009529936,1,0,0,5,0.854157028,0,0,0,0,0,0,0,0,,0,0,0,0.009529936,0, -   , -   ,0,0,0,0,0,0, -   ,
22/3/2019,248.5,0.012219959,284,0.023423423,-0.011203464,0.011203464,0.006406935,0.012715451,0,0,0,5,2.190647791,0,0,0,0,0,0,0,0,,0,0,0,0.012715451,0, -   , -   ,0,0,0,0,0,0, -   ,
25/3/2019,241.5,-0.028169014,276.5,-0.026408451,-0.001760563,0.001760563,0.017275459,0.019073365,0,0,0,5,1.073369565,0,0,0,0,0,0,0,0,,0,0,0,0.019073365,0, -   , -   ,0,0,0,0,0,0, -   ,
26/3/2019,244,0.010351967,281,0.016274864,-0.005922898,0.005922898,0.017694905,0.01974063,0,0,0,5,1.810551982,0,0,0,0,0,0,0,0,,0,0,0,0.01974063,0, -   , -   ,0,0,0,0,0,0, -   ,
27/3/2019,241.5,-0.010245902,279.5,-0.005338078,-0.004907823,0.004907823,0.018464523,0.019922194,0,0,0,5,0.602975177,0,0,0,0,0,0,0,0,,0,0,0,0.019922194,0, -   , -   ,0,0,0,0,0,0, -   ,
28/3/2019,242,0.002070393,276.5,-0.010733453,0.012803846,0.012803846,0.016742999,0.020329097,1,0,0,5,5.92333565,0,0,0,0,0,0,0,0,,0,0,0,0.020329097,0, -   , -   ,0,0,0,0,0,0, -   ,
29/3/2019,245.5,0.01446281,282.5,0.021699819,-0.007237009,0.007237009,0.017266351,0.019829285,0,0,0,5,1.726515144,0,0,0,0,0,0,0,0,,0,0,0,0.019829285,0, -   , -   ,0,0,0,0,0,0, -   ,
1/4/2019,245.5,0,285.5,0.010619469,-0.010619469,0.010619469,0.009620656,0.013970365,0,0,0,5,inf,0,0,0,0,0,0,0,0,,0,0,0,0.013970365,0, -   , -   ,0,0,0,0,0,0, -   ,
2/4/2019,246,0.00203666,290.5,0.017513135,-0.015476475,0.015476475,0.008785332,0.014196018,0,1,1,5,10.15445019,51,-5,56,0.009268429,-12546,1452.5,0,0,Opened,-12546,1452.5,0,0.014196018,13998.5, 0.00 , 0.00 ,0,0,0,0,13998.5,0, -   ,
3/4/2019,246.5,0.00203252,290.5,0,0.00203252,0.00203252,0.005849079,0.013227115,1,0,-1,5,0,-51,5,56,0.006507832,12571.5,-1452.5,25.5,0,Closed,12571.5,-1452.5,25.5,0.013227115,14024, 0.00 , 0.00 ,25.5,0.001818311,0,25.5,0,0.001818311, 0.000006 ,
8/4/2019,253,0.026369168,294.5,0.013769363,0.012599805,0.012599805,0.011286743,0.008229871,1,1,1,5,0.607830096,-4,5,9,0.00958848,1012,-1472.5,0,0,Opened,1012,-1472.5,0,0.011286743,2484.5, 0.00 , 0.00 ,0,0,0,0,2484.5,0, -   ,
9/4/2019,254,0.003952569,299.5,0.016977929,-0.01302536,0.01302536,0.01098508,0.007140729,0,0,-1,5,5.064870393,4,-5,9,0.008849329,-1016,1497.5,-4,25,Closed,-1016,1497.5,21,0.01098508,2513.5, 0.00 , 0.00 ,21,0.008354884,0,21,0,0.008354884, 0.000005 ,
10/4/2019,254,0,300,0.001669449,-0.001669449,0.001669449,0.01098508,0.008496233,0,0,0,5,inf,0,0,0,0,0,0,0,0,,0,0,0,0.01098508,0, -   , -   ,0,0,0,0,0,0, -   ,
