index,GLD_Close,GLD_dailyReturns,GC=F_Close,GC=F_dailyReturns,spread,abs_sprd,GLD_rolling avg,GC=F_rolling avg,isSprdPos,signal,axe,leverage,ratio,GLD_Size,GC=F_Size,GLD_Cashflow,GC=F_Cashflow,GLD_MTM,GC=F_MTM,Live Trades,GLD_PnL,GC=F_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,optimal,predicted
2012-01-20,162.07000732421875,0.0052723365406257,1663.699951171875,0.0058037456789978,-0.0005314091383721,0.0005314091383721,0.0135059739505851,0.0140494556912523,0,0,0.0,10,10.678394059088715,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140494556912523,0.0,0.0,0.0,0,0.0,0,0
2012-01-21,162.07000732421875,0.0,1663.699951171875,0.0,0.0,0.0,0.0134942350116119,0.0140413542858037,1,0,0.0,10,10.681520544109112,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140413542858037,0.0,0.0,0.0,0,0.0,0,0
2012-01-22,162.07000732421875,0.0,1663.699951171875,0.0,0.0,0.0,0.0134929692815175,0.0140400367394013,1,0,0.0,10,10.681520165462427,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140400367394013,0.0,0.0,0.0,0,0.0,0,0
2012-01-23,163.16000366210938,0.0067254660864555,1678.0,0.0085953292347291,-0.0018698631482736,0.0018698631482736,0.0134983749957929,0.0140534467609683,0,0,0.0,10,10.707291193655307,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0140534467609683,0.0,0.0,0.0,0,0.0,0,0
2012-01-24,162.00999450683594,-0.00704835210506,1664.199951171875,-0.008224105380289,0.001175753275229,0.001175753275229,0.013509409557846,0.014067526574498,1,0,0.0,10,10.69658320427922,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.014067526574498,0.0,0.0,0.0,0,0.0,0,0
2012-01-25,166.4199981689453,0.0272205654690229,1699.800048828125,0.021391718964528,0.0058288465044948,0.0058288465044948,0.0136512863787482,0.0141397957647373,1,0,0.0,10,10.579420602880127,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0141397957647373,0.0,0.0,0.0,0,0.0,0,0
2012-01-26,167.27000427246094,0.0051075959191677,1726.300048828125,0.0155900689720944,-0.0104824730529267,0.0104824730529267,0.0136558178873908,0.0141853814074027,0,0,0.0,10,10.720659824459629,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0141853814074027,0.0,0.0,0.0,0,0.0,0,0
2012-01-27,168.97000122070312,0.0101631906786654,1731.800048828125,0.0031860046599279,0.0069771860187375,0.0069771860187375,0.0136751531895035,0.014186834944577,1,0,0.0,10,10.632648484463724,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.014186834944577,0.0,0.0,0.0,0,0.0,0,0
2012-01-28,168.97000122070312,0.0,1731.800048828125,0.0,0.0,0.0,0.0136718184945956,0.0141793772218528,1,0,0.0,10,10.629651170584044,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0141793772218528,0.0,0.0,0.0,0,0.0,0,0
2012-01-29,168.97000122070312,0.0,1731.800048828125,0.0,0.0,0.0,0.0135567628583019,0.0141423446121402,1,0,0.0,10,10.691867221833085,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0141423446121402,0.0,0.0,0.0,0,0.0,0,0
2012-01-30,168.02999877929688,-0.005563132121769,1731.0,-0.0004619752890446,-0.0051011568327243,0.0051011568327243,0.0135638560164028,0.0141104052014958,0,0,0.0,10,10.716835340149313,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0141104052014958,0.0,0.0,0.0,0,0.0,0,0
2012-01-31,169.30999755859375,0.007617680108289,1737.800048828125,0.0039283933149192,0.0036892867933697,0.0036892867933697,0.0135682529676709,0.0141086260850275,1,0,0.0,10,10.672790714608636,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0141086260850275,0.0,0.0,0.0,0,0.0,0,0
2012-02-01,169.55999755859375,0.0014765814399912,1747.0999755859375,0.0053515516725206,-0.0038749702325293,0.0038749702325293,0.0135596948062203,0.0141088105396836,0,0,0.0,10,10.720988811714909,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0141088105396836,0.0,0.0,0.0,0,0.0,0,0
2012-02-02,171.0500030517578,0.0087874823933584,1756.800048828125,0.0055520996953446,0.0032353826980138,0.0032353826980138,0.0135742251042064,0.0141139517768015,1,0,0.0,10,10.679055188224183,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0141139517768015,0.0,0.0,0.0,0,0.0,0,0
2012-02-03,167.63999938964844,-0.0199357123722326,1737.9000244140625,-0.0107582103191935,-0.0091775020530391,0.0091775020530391,0.0136585951875442,0.0141386356020873,0,0,0.0,10,10.731207847158258,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0141386356020873,0.0,0.0,0.0,0,0.0,0,0
2012-02-04,167.63999938964844,0.0,1737.9000244140625,0.0,0.0,0.0,0.0134340517190158,0.0138662950609748,1,0,0.0,10,10.700413487986973,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0138662950609748,0.0,0.0,0.0,0,0.0,0,0
2012-02-05,167.63999938964844,0.0,1737.9000244140625,0.0,0.0,0.0,0.0134178199675684,0.0138059643125595,1,0,0.0,10,10.666745288916292,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0138059643125595,0.0,0.0,0.0,0,0.0,0,0
