index,SPY_Close,SPY_dailyReturns,IVV_Close,IVV_dailyReturns,spread,abs_sprd,SPY_rolling avg,IVV_rolling avg,isSprdPos,signal,axe,leverage,ratio,SPY_Size,IVV_Size,SPY_Cashflow,IVV_Cashflow,SPY_MTM,IVV_MTM,Live Trades,SPY_PnL,IVV_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2024-08-08,527.2528076171875,0.023117441215673162,529.640625,0.023164492634860423,-4.7051419187260635e-05,4.7051419187260635e-05,0.01942855272284862,0.019487423965114384,0,0,0.0,5,1.0065733290518255,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.019487423965114384,0.0,0.0,0.0,0,0.0,0.0
2024-08-09,529.5777587890625,0.004409556740687881,531.90380859375,0.004273055137622883,0.00013650160306499792,0.00013650160306499792,0.019567522918811614,0.01961741460130252,1,0,0.0,5,0.9733004500014673,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01961741460130252,0.0,0.0,0.0,0,0.0,0.0
2024-08-10,529.5777587890625,0.0,531.90380859375,0.0,0.0,0.0,0.011211472425914198,0.011320007769558531,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.011320007769558531,0.0,0.0,0.0,0,0.0,0.0
2024-08-11,529.5777587890625,0.0,531.90380859375,0.0,0.0,0.0,0.011309871506175856,0.011384058284490852,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.011384058284490852,0.0,0.0,0.0,0,0.0,0.0
2024-08-12,529.8560180664062,0.0005254361096660443,532.1619262695312,0.00048527134344777956,4.01647662182647e-05,4.01647662182647e-05,0.009959273953318982,0.00998938739413281,1,0,0.0,5,0.9275784672966877,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.00998938739413281,0.0,0.0,0.0,0,0.0,0.0
2024-08-13,538.5698852539062,0.016445726556620688,541.0162963867188,0.016638488550386965,-0.00019276199376627723,0.00019276199376627723,0.0070490276502839285,0.007137384868234522,0,0,0.0,5,1.0163167624064882,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.007137384868234522,0.0,0.0,0.0,0,0.0,0.0
2024-08-14,540.2689208984375,0.003154717133376783,542.7831420898438,0.003265790171063543,-0.00011107303768675969,0.00011107303768675969,0.0070654093605749405,0.007151807893633362,0,0,0.0,5,1.0400260527606282,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.007151807893633362,0.0,0.0,0.0,0,0.0,0.0
2024-08-15,549.5292358398438,0.01714019552708468,552.0741577148438,0.017117362173827644,2.2833353257034616e-05,2.2833353257034616e-05,0.008612846131317747,0.008651453196036376,1,0,0.0,5,1.0032927728351846,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008651453196036376,0.0,0.0,0.0,0,0.0,0.0
2024-08-16,550.7612915039062,0.0022420202306061565,553.324951171875,0.0022656258032589527,-2.360557265279617e-05,2.360557265279617e-05,0.008175042504162185,0.008208324533205538,0,0,0.0,5,1.0152324713589231,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008208324533205538,0.0,0.0,0.0,0,0.0,0.0
2024-08-17,550.7612915039062,0.0,553.324951171875,0.0,0.0,0.0,0.008296046830644888,0.008320816814242977,1,0,0.0,5,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.008320816814242977,0.0,0.0,0.0,0,0.0,0.0
