Date,GC=F_Close,GC=F_dailyReturns,GLD_Close,GLD_dailyReturns,spread,abs_sprd,GC=F_rolling avg,GLD_rolling avg,isSprdPos,signal,axe,leverage,ratio,GC=F_Size,GLD_Size,GC=F_Cashflow,GLD_Cashflow,GC=F_MTM,GLD_MTM,Live Trades,GC=F_PnL,GLD_PnL,Total PnL,Gross Capital
2024-03-28,2217.39990234375,0.012234001411838502,205.72000122070312,0.012900024807739996,-0.0006660233959014938,0.0006660233959014938,0.009074065005714697,0.007665347340425019,0,0,0.0,5,0.09782604894905504,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-04-01,2236.5,0.008613736131250604,207.82000732421875,0.010208079384865787,-0.0015943432536151825,0.0015943432536151825,0.004312660655556737,0.004277672614383616,0,0,0.0,5,0.11012119824296893,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-04-02,2261.0,0.010954616588419341,210.88999938964844,0.014772360490971526,-0.003817743902552184,0.003817743902552184,0.004645682940441234,0.004584783348150187,0,0,0.0,5,0.12577900029423542,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-04-03,2294.39990234375,0.014772181487726632,212.74000549316406,0.008772374739768773,0.005999806747957859,0.005999806747957859,0.003075453295551028,0.0030544237498906605,1,1,1.0,5,0.055062077280212174,-1.0,5.0,2294.39990234375,-1063.7000274658203,0.0,0.0,Opened,2294.39990234375,-1063.7000274658203,0.0,3358.0999298095703
2024-04-04,2288.800048828125,-0.0024406615036484114,211.52000427246094,-0.005734705223284009,0.0032940437196355976,0.0032940437196355976,0.0066799189904254335,0.008121281003223594,1,1,0.0,5,0.21714365341453365,1.0,-5.0,-2288.800048828125,1057.6000213623047,5.599853515625,-6.100006103515625,Live,0.0,0.0,0.0,0.0
2024-04-05,2325.699951171875,0.016121942308871873,215.13999938964844,0.017114197447370305,-0.0009922551384984324,0.0009922551384984324,0.007366687342509218,0.008913187587908433,0,0,-1.0,5,0.09819890718502598,1.0,-5.0,-2325.699951171875,1075.6999969482422,-31.300048828125,11.999969482421875,Closed,-2325.699951171875,1075.6999969482422,-19.300079345703125,0.0
2024-04-08,2331.699951171875,0.0025798684808746586,216.47999572753906,0.00622848536623688,-0.0036486168853622214,0.0036486168853622214,0.008033570182852768,0.008958859675853413,0,0,0.0,5,0.22414548171525694,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-04-09,2343.5,0.005060706383852809,217.6699981689453,0.005497054993034878,-0.00043634860918206897,0.00043634860918206897,0.007996901979931588,0.00819321336328792,0,0,0.0,5,0.1008910302056379,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-04-10,2329.60009765625,-0.00593125766748448,215.61000061035156,-0.009463856185613961,0.0035325985181294817,0.0035325985181294817,0.008454969529979867,0.01057287185463963,1,0,0.0,5,0.14767564140763337,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-04-11,2354.800048828125,0.010817286278974603,219.8000030517578,0.019433247203493043,-0.00861596092451844,0.00861596092451844,0.008370023284496946,0.011487965143704204,0,0,0.0,5,0.16768750761638987,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-04-12,2356.199951171875,0.000594488837575291,216.88999938964844,-0.013239324939518515,0.013833813777093806,0.013833813777093806,0.006131491961956556,0.013202344329099865,1,1,1.0,5,2.0499795174712667,-11.0,5.0,25918.199462890625,-1084.4499969482422,0.0,0.0,Opened,25918.199462890625,-1084.4499969482422,0.0,27002.649459838867
2024-04-15,2365.800048828125,0.00407439854647107,220.9499969482422,0.01871915519396472,-0.01464475664749365,0.01464475664749365,0.006165125831016354,0.015291913569951266,0,0,-1.0,5,0.4290804230426341,11.0,-5.0,-26023.800537109375,1104.749984741211,-105.60107421875,20.29998779296875,Closed,-26023.800537109375,1104.749984741211,-85.30108642578125,0.0
2024-04-16,2390.800048828125,0.010567249760766284,221.22000122070312,0.0012220152803359419,0.009345234480430342,0.009345234480430342,0.007068134425264972,0.015319998878185043,1,0,0.0,5,0.01070029617016119,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-04-17,2371.699951171875,-0.007988998354593546,219.58999633789062,-0.007368252752093185,-0.000620745602500361,0.000620745602500361,0.007813353865895076,0.01490539504887974,0,0,0.0,5,0.08539353457994227,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-04-18,2382.300048828125,0.004469409231556698,220.33999633789062,0.0034154561341945833,0.0010539530973621147,0.0010539530973621147,0.00680009415521964,0.012161669834043352,1,0,0.0,5,0.07067982547559314,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-04-19,2398.39990234375,0.006758113245871167,221.02999877929688,0.003131535140574959,0.0036265781052962076,0.0036265781052962076,0.006960588804636493,0.00941473459624017,1,0,0.0,5,0.04270330103448428,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-04-22,2332.199951171875,-0.027601715254901182,215.57000732421875,-0.02470249054532203,-0.0028992247095791512,0.0028992247095791512,0.015531642388104267,0.011930575010331498,0,0,0.0,5,0.08272318076675733,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-04-23,2327.699951171875,-0.0019295086588689836,215.0399932861328,-0.002458663172418052,0.0005291545135490683,0.0005291545135490683,0.01375489262454347,0.011569550048158038,1,0,0.0,5,0.11771845257124383,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-04-24,2324.5,-0.0013747266567858407,214.63999938964844,-0.0018600907225296837,0.00048536406574384294,0.00048536406574384294,0.013744700516362963,0.011620794326390021,1,0,0.0,5,0.1249392459715986,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-04-25,2329.800048828125,0.0022800812338674703,215.9199981689453,0.005963468053189924,-0.003683386819322454,0.003683386819322454,0.013441527776314442,0.012100376510138644,0,0,0.0,5,0.24239451863125475,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-04-26,2334.800048828125,0.002146106916992796,216.6199951171875,0.003241927353549112,-0.0010958204365563162,0.0010958204365563162,0.012619791438744792,0.012116697888000887,0,0,0.0,5,0.14015247530253122,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-04-29,2345.39990234375,0.004539940591891556,216.17999267578125,-0.002031218037689575,0.006571158629581131,0.006571158629581131,0.0027210786243542667,0.003810287533503791,1,1,1.0,5,0.041238700331621844,-1.0,5.0,2345.39990234375,-1080.8999633789062,0.0,0.0,Opened,2345.39990234375,-1080.8999633789062,0.0,3426.2998657226562
2024-04-30,2291.39990234375,-0.02302379220960915,211.8699951171875,-0.019937078844561418,-0.003086713365047733,0.003086713365047733,0.011344257952997374,0.010104201614789317,0,0,-1.0,5,0.08006694085821948,1.0,-5.0,-2291.39990234375,1059.3499755859375,54.0,-21.54998779296875,Closed,-2291.39990234375,1059.3499755859375,32.45001220703125,0.0
