Date,2330.TW_Close,2330.TW_dailyReturns,2454.TW_Close,2454.TW_dailyReturns,spread,abs_sprd,2330.TW_rolling avg,2454.TW_rolling avg,,isSprdPos,signal,axe,leverage,ratio,2330.TW_Size,2454.TW_Size,2330.TW_Cashflow,2454.TW_Cashflow,,2330.TW_MTM,2454.TW_MTM,MTM,,,Live Trades,2330.TW_PnL,2454.TW_PnL,Total PnL,Gross Capital
15/7/2024,1040,0,1355,-0.003676471,0.003676471,0.003676471,0.025162147,0.025415293,2.54%,1,1,0,5,inf,3,-5,-3120,6775,9895,120,-325,-205,-2.07%,FALSE,Live,0,0,0,0
16/7/2024,1055,0.014423077,1345,-0.007380074,0.021803151,0.021803151,0.025862312,0.015389072,2.59%,1,1,0,5,0.652337898,3,-5,-3165,6725,9890,75,-375,-300,-3.03%,TRUE,Live,0,0,0,0
17/7/2024,1030,-0.023696682,1325,-0.014869888,-0.008826794,0.008826794,0.028417468,0.015387437,2.84%,0,0,-1,5,0.807232829,3,-5,-3090,6625,9715,150,-475,-325,-3.35%,TRUE,Closed,-3090,6625,-325,0
18/7/2024,1005,-0.024271845,1280,-0.033962264,0.009690419,0.009690419,0.020820933,0.01689145,2.08%,1,0,0,5,1.782123346,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
19/7/2024,970,-0.034825871,1260,-0.015625,-0.019200871,0.019200871,0.02022742,0.011685545,2.02%,0,0,0,5,0.582796392,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
22/7/2024,939,-0.031958763,1225,-0.027777778,-0.004180985,0.004180985,0.019872462,0.010725323,1.99%,0,0,0,5,1.133908566,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
23/7/2024,979,0.042598509,1275,0.040816327,0.001782183,0.001782183,0.032242182,0.029696349,3.22%,1,0,0,5,1.247863292,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
25/7/2024,979,0,1275,0,0,0,0.03228128,0.029866334,3.23%,1,0,0,5,,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
26/7/2024,924,-0.056179775,1245,-0.023529412,-0.032650364,0.032650364,0.038448889,0.027834078,3.84%,0,0,0,5,0.564323911,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
29/7/2024,944,0.021645022,1240,-0.004016064,0.025661086,0.025661086,0.039832384,0.027227051,3.98%,1,0,0,5,0.243720645,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
30/7/2024,940,-0.004237288,1255,0.012096774,-0.016334062,0.016334062,0.036926729,0.023734801,3.69%,0,0,0,5,3.811513384,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
31/7/2024,934,-0.006382979,1220,-0.027888446,0.021505467,0.021505467,0.028616324,0.016720031,2.86%,1,0,0,5,5.707078894,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
1/8/2024,960,0.027837259,1180,-0.032786885,0.060624144,0.060624144,0.033159852,0.018774088,3.32%,1,1,1,5,1.44771963,-8,5,7680,-5900,13580,0,0,0,0.00%,FALSE,Opened,7680,-5900,0,13580
2/8/2024,903,-0.059375,1090,-0.076271186,0.016896186,0.016896186,0.034435995,0.03358281,3.44%,1,1,0,5,1.550585174,8,-5,-7224,5450,12674,456,-450,6,0.05%,FALSE,Live,0,0,0,0
5/8/2024,815,-0.097452935,991,-0.090825688,-0.006627247,0.006627247,0.049894469,0.041117205,4.99%,0,0,-1,5,1.13326068,8,-5,-6520,4955,11475,1160,-945,215,1.87%,FALSE,Closed,-6520,4955,215,0
6/8/2024,880,0.079754601,1075,0.084762866,-0.005008265,0.005008265,0.069964672,0.068945185,7.00%,0,0,0,5,1.29830185,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
7/8/2024,920,0.045454545,1150,0.069767442,-0.024312896,0.024312896,0.074534271,0.081826694,8.18%,0,0,0,5,1.918604651,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
8/8/2024,896,-0.026086957,1115,-0.030434783,0.004347826,0.004347826,0.073252843,0.081662861,8.17%,1,0,0,5,1.451822917,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
9/8/2024,934,0.042410714,1125,0.00896861,0.033442104,0.033442104,0.07073644,0.072373061,7.24%,1,0,0,5,0.254715393,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
12/8/2024,940,0.006423983,1175,0.044444444,-0.038020462,0.038020462,0.040525083,0.046723658,4.67%,0,0,0,5,8.648148148,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
13/8/2024,941,0.00106383,1160,-0.012765957,0.013829787,0.013829787,0.03011708,0.041027838,4.10%,1,0,0,5,14.79277365,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
14/8/2024,948,0.007438895,1185,0.021551724,-0.014112829,0.014112829,0.024400902,0.029187653,2.92%,0,0,0,5,3.62145936,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
15/8/2024,943,-0.005274262,1155,-0.025316456,0.020042194,0.020042194,0.01858836,0.027622691,2.76%,1,0,0,5,5.879109226,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
