index,GLD_Close,GLD_dailyReturns,COPX_Close,COPX_dailyReturns,spread,abs_sprd,GLD_rolling avg,COPX_rolling avg,isSprdPos,signal,axe,leverage,ratio,GLD_Size,COPX_Size,GLD_Cashflow,COPX_Cashflow,GLD_MTM,COPX_MTM,Live Trades,GLD_PnL,COPX_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital,optimal,predicted
2015-10-08,109.13999938964844,-0.0051048092449625,13.45516872406006,0.0171102849361597,-0.0222150941811223,0.0222150941811223,0.0068057776369037,0.0206500719616244,0,1,0.0,10,0.37406667132524324,-4.0,10.0,436.55999755859375,-134.55168724060061,1.480010986328125,-14.33541297912602,Live,0.0,0.0,0.0,0.0206500719616244,571.1116847991943,-12.855401992797894,-0.022509436131249734,1,-12.855401992797894,0.0,0,0
2015-10-09,110.87000274658205,0.0158512311398975,14.058765411376951,0.044859837858262,-0.0290086067183645,0.0290086067183645,0.0069115948543236,0.0209344500678788,0,1,0.0,10,0.38407532798979616,-4.0,10.0,443.4800109863282,-140.5876541137695,8.400024414062557,-20.371379852294908,Live,0.0,0.0,0.0,0.0209344500678788,584.0676651000977,-11.97135543823235,-0.02049652147098521,0,0.0,0.0,0,0
2015-10-10,110.87000274658205,0.0,14.058765411376951,0.0,0.0,0.0,0.0068920584102168,0.0209269920263664,1,0,-1.0,10,0.38502682258201376,-4.0,10.0,443.4800109863282,-140.5876541137695,8.400024414062557,-20.371379852294908,Closed,443.4800109863282,-140.5876541137695,-11.97135543823235,0.0209269920263664,584.0676651000977,-11.97135543823235,-0.02049652147098521,0,0.0,0.0,0,0
2015-10-11,110.87000274658205,0.0,14.058765411376951,0.0,0.0,0.0,0.0068778989368343,0.0208671088863715,1,0,0.0,10,0.38471544149409304,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0208671088863715,0.0,0.0,0.0,0,0.0,0.0,0,0
2015-10-12,111.30999755859376,0.003968564996047,13.807265281677246,-0.0178892045169331,0.0218577695129801,0.0218577695129801,0.0068532283523763,0.0208532642802009,1,1,1.0,10,0.3774438384665299,-4.0,10.0,445.23999023437506,-138.07265281677246,0.0,0.0,Opened,445.23999023437506,-138.07265281677246,0.0,0.0208532642802009,583.3126430511475,0.0,0.0,0,0.0,805.932638168335,-1,1
2015-10-13,111.86000061035156,0.0049411828570771,13.32941722869873,-0.0346084502057505,0.0395496330628276,0.0395496330628276,0.0068593460780523,0.0209876475787528,1,1,0.0,10,0.3646006114983116,4.0,-10.0,-447.44000244140625,133.2941722869873,-2.200012207031193,-4.778480529785156,Live,0.0,0.0,0.0,0.0209876475787528,580.7341747283936,-6.978492736816349,-0.012016673101906144,0,0.0,0.0,0,0
2015-10-14,113.80999755859376,0.017432477539802,13.555767059326172,0.0169812248160483,0.0004512527237536,0.0004512527237536,0.0069731427633729,0.0210240908967662,1,1,0.0,10,0.35911401304580803,4.0,-10.0,-455.23999023437506,135.55767059326172,-10.0,-2.514982223510742,Live,0.0,0.0,0.0,0.0210240908967662,590.7976608276367,-12.514982223510742,-0.021183195285470073,1,-12.514982223510742,0.0,0,0
2015-10-15,113.29000091552734,-0.0045689891417376,13.555767059326172,0.0,-0.0045689891417376,0.0045689891417376,0.0069812250808771,0.0210240908967662,0,0,-1.0,10,0.3603446697542478,4.0,-10.0,-453.1600036621094,135.55767059326172,-7.920013427734318,-2.514982223510742,Closed,-453.1600036621094,135.55767059326172,-10.43499565124506,0.0210240908967662,588.7176742553711,-10.43499565124506,-0.017724957322614063,0,0.0,0.0,0,0
2015-10-16,112.48999786376952,-0.0070615504042084,13.2539701461792,-0.0222633593382191,0.0152018089340106,0.0152018089340106,0.0070005426674745,0.0210812467353791,1,1,1.0,10,0.35481066365676345,-4.0,10.0,449.95999145507807,-132.539701461792,0.0,0.0,Opened,449.95999145507807,-132.539701461792,0.0,0.0210812467353791,582.4996929168701,0.0,0.0,0,0.0,0.0,0,1
2015-10-17,112.48999786376952,0.0,13.2539701461792,0.0,0.0,0.0,0.0069780280395258,0.0210772647571099,1,0,-1.0,10,0.35588822586379737,4.0,-10.0,-449.95999145507807,132.539701461792,0.0,0.0,Closed,-449.95999145507807,132.539701461792,0.0,0.0210772647571099,582.4996929168701,0.0,0.0,0,0.0,0.0,0,0
2015-10-18,112.48999786376952,0.0,13.2539701461792,0.0,0.0,0.0,0.0069643009280751,0.0210754552979814,1,0,0.0,10,0.3565590929763053,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0210754552979814,0.0,0.0,0.0,0,0.0,0.0,0,0
2015-10-19,112.0199966430664,-0.0041781600998189,12.750974655151367,-0.0379505525876586,0.0337723924878397,0.0337723924878397,0.0068992923062871,0.0212470820856062,1,1,1.0,10,0.350544031945958,-4.0,10.0,448.0799865722656,-127.50974655151367,0.0,0.0,Opened,448.0799865722656,-127.50974655151367,0.0,0.0212470820856062,575.5897331237793,0.0,0.0,0,0.0,1359.729709625244,1,1
2015-10-20,112.7300033569336,0.0063382140255681,12.675521850585938,-0.0059174146766064,0.0122556287021745,0.0122556287021745,0.0068939767478965,0.0211901471375814,1,1,0.0,10,0.34561333149656664,4.0,-10.0,-450.9200134277344,126.75521850585938,-2.84002685546875,-0.7545280456542969,Live,0.0,0.0,0.0,0.0211901471375814,577.6752319335938,-3.594554901123047,-0.006222449401355425,0,0.0,0.0,0,0
2015-10-21,111.7300033569336,-0.0088707528627824,12.52462387084961,-0.0119046759190709,0.0030339230562884,0.0030339230562884,0.0068460429347242,0.0210446706517358,1,1,0.0,10,0.3445858149444651,4.0,-10.0,-446.9200134277344,125.2462387084961,1.15997314453125,-2.263507843017578,Live,0.0,0.0,0.0,0.0210446706517358,572.1662521362305,-1.1035346984863281,-0.0019286958892912492,0,0.0,0.0,0,0
2015-10-22,111.69000244140624,-0.0003580140904458,12.901872634887695,0.0301205663282322,-0.0304785804186781,0.0304785804186781,0.0068460826807151,0.0211809768046272,0,0,-1.0,10,0.3573899161785281,4.0,-10.0,-446.76000976562494,129.01872634887695,1.3199768066406818,1.5089797973632812,Closed,-446.76000976562494,129.01872634887695,2.828956604003963,0.0211809768046272,575.778736114502,2.828956604003963,0.004913270370306596,0,2.828956604003963,0.0,0,1
2015-10-23,111.5,-0.0017011588974217,13.128220558166504,0.0175438038867896,-0.0192449627842113,0.0192449627842113,0.0068471957803051,0.0212303450099066,0,0,0.0,10,0.3650692916271207,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0212303450099066,0.0,0.0,0.0,0,0.0,0.0,0,0
2015-10-24,111.5,0.0,13.128220558166504,0.0,0.0,0.0,0.006677355934146,0.0210939164232856,1,0,0.0,10,0.37194925330027667,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0210939164232856,0.0,0.0,0.0,0,0.0,0.0,0,0
2015-10-25,111.5,0.0,13.128220558166504,0.0,0.0,0.0,0.0066444493623755,0.0210819767412518,1,0,0.0,10,0.37357975321052256,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0210819767412518,0.0,0.0,0.0,0,0.0,0.0,0,0
2015-10-26,111.43000030517578,-0.0006277999535804,13.052770614624023,-0.0057471569134741,0.0051193569598937,0.0051193569598937,0.0066247546311956,0.0210677368053227,1,0,0.0,10,0.37251919942910255,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0210677368053227,0.0,0.0,0.0,0,0.0,0.0,0,0
2015-10-27,111.68000030517578,0.0022435609738429,12.725822448730469,-0.0250481813820622,0.0272917423559051,0.0272917423559051,0.006496175053704,0.0211318804039463,1,1,1.0,10,0.37067293593300393,-4.0,10.0,446.7200012207031,-127.25822448730469,0.0,0.0,Opened,446.7200012207031,-127.25822448730469,0.0,0.0211318804039463,573.9782257080078,0.0,0.0,0,0.0,1579.0982284545898,1,1
2015-10-28,110.77999877929688,-0.0080587528959488,12.927021026611328,0.0158102612771351,-0.0238690141730839,0.0238690141730839,0.0065186629047735,0.0211232888616857,0,0,-1.0,10,0.3781291113213194,4.0,-10.0,-443.1199951171875,129.27021026611328,3.600006103515625,2.0119857788085938,Closed,-443.1199951171875,129.27021026611328,5.611991882324219,0.0211232888616857,572.3902053833008,5.611991882324219,0.009804486222062713,0,5.611991882324219,0.0,0,0
2015-10-29,109.72000122070312,-0.0095684922393395,12.499475479125977,-0.0330737875806973,0.0235052953413578,0.0235052953413578,0.0065568028212697,0.0212464641409404,1,0,0.0,10,0.36914800543404824,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0212464641409404,0.0,0.0,0.0,0,0.0,563.8747596740723,1,0
2015-10-30,109.3000030517578,-0.0038279088978543,12.675521850585938,0.0140843007175746,-0.0179122096154289,0.0179122096154289,0.0065625311463534,0.0212816504679313,0,0,0.0,10,0.37607944959530176,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0212816504679313,0.0,0.0,0.0,0,0.0,0.0,0,0
2015-10-31,109.3000030517578,0.0,12.675521850585938,0.0,0.0,0.0,0.0065263213875279,0.0212625914612522,1,0,0.0,10,0.3778273673579315,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0212625914612522,0.0,0.0,0.0,0,0.0,0.0,0,0
2015-11-01,109.3000030517578,0.0,12.675521850585938,0.0,0.0,0.0,0.0065224126783181,0.0212585491007805,1,0,0.0,10,0.3779819151913713,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0212585491007805,0.0,0.0,0.0,0,0.0,0.0,0,0
